ts_epoch,vmrss_kb,vmhwm_kb,threads,fds,vm_size_kb,utime_ticks,stime_ticks,mmc_writes_completed,mmc_sectors_written,mmc_ms_writing,loop_writes_completed,loop_sectors_written,loop_ms_writing
1789777385,26004,26004,9,10,1274552,143,19,10260,16072616,43502,8747,519760,16762
1789777386,26004,26004,9,10,1274552,143,19,10260,16072616,43502,8747,519760,16762
1789777387,26004,26004,9,10,1274552,143,19,10260,16072616,43502,8747,519760,16762
1789777388,26004,26004,9,10,1274552,143,19,10260,16072616,43502,8747,519760,16762
1789777389,26004,26004,9,10,1274552,143,19,10260,16072616,43502,8747,519760,16762
1789777390,26004,26004,9,10,1274552,143,19,10260,16072616,43502,8747,519760,16762
1789777391,26092,26092,9,12,1274552,146,19,10270,16072672,43505,8757,519816,16765
1789777392,26100,26100,9,10,1274552,150,19,10277,16072728,43509,8764,519872,16769
1789777393,26152,26152,9,10,1274552,151,20,10277,16072728,43509,8764,519872,16769
1789777394,26152,26152,9,10,1274552,151,20,10277,16072728,43509,8764,519872,16769
1789777395,26152,26152,9,10,1274552,151,20,10277,16072728,43509,8764,519872,16769
1789777396,26156,26156,9,11,1274552,151,20,10277,16072728,43509,8764,519872,16769
1789777397,26156,26156,9,11,1274552,151,20,10277,16072728,43509,8764,519872,16769
1789777398,26156,26156,9,11,1274552,151,20,10277,16072728,43509,8764,519872,16769
1789777399,26156,26156,9,10,1274552,152,20,10277,16072728,43509,8764,519872,16769
1789777400,26156,26156,9,10,1274552,152,20,10277,16072728,43509,8764,519872,16769
1789777401,26156,26156,9,11,1274552,152,20,10277,16072728,43509,8764,519872,16769
1789777402,26156,26156,9,11,1274552,152,20,10277,16072728,43509,8764,519872,16769
1789777403,26156,26156,9,11,1274552,152,20,10277,16072728,43509,8764,519872,16769
1789777404,26156,26156,9,10,1274552,152,20,10277,16072728,43509,8764,519872,16769
1789777405,26156,26156,9,10,1274552,152,20,10277,16072728,43509,8764,519872,16769
1789777406,26156,26156,9,11,1274552,152,20,10277,16072728,43509,8764,519872,16769
1789777407,26160,26160,9,11,1274552,157,22,10295,16072840,43516,8782,519984,16776
1789777408,26160,26160,9,11,1274552,157,22,10295,16072840,43516,8782,519984,16776
1789777409,26160,26160,9,11,1274552,157,22,10295,16072840,43516,8782,519984,16776
1789777410,26160,26160,9,10,1274552,157,22,10295,16072840,43516,8782,519984,16776
1789777411,26160,26160,9,10,1274552,157,22,10295,16072840,43516,8782,519984,16776
1789777412,26160,26160,9,10,1274552,157,22,10295,16072840,43516,8782,519984,16776
1789777413,26160,26160,9,10,1274552,157,22,10295,16072840,43516,8782,519984,16776
1789777414,26160,26160,9,10,1274552,157,22,10295,16072840,43516,8782,519984,16776
1789777415,26160,26160,9,10,1274552,157,22,10295,16072840,43516,8782,519984,16776
1789777416,26160,26160,9,10,1274552,157,22,10295,16072840,43516,8782,519984,16776
1789777417,26160,26160,9,10,1274552,157,22,10295,16072840,43516,8782,519984,16776
1789777418,26160,26160,9,10,1274552,158,22,10295,16072840,43516,8782,519984,16776
1789777419,26160,26160,9,10,1274552,158,22,10295,16072840,43516,8782,519984,16776
1789777420,26160,26160,9,10,1274552,158,22,10295,16072840,43516,8782,519984,16776
1789777421,26160,26160,9,10,1274552,158,22,10295,16072840,43516,8782,519984,16776
1789777422,26380,26380,9,12,1274552,162,24,10295,16072840,43516,8782,519984,16776
1789777423,26420,26420,9,10,1274552,168,24,10311,16072944,43522,8798,520088,16781
1789777424,26420,26420,9,10,1274552,169,24,10311,16072944,43522,8798,520088,16781
1789777425,26420,26420,9,10,1274552,169,24,10311,16072944,43522,8798,520088,16781
1789777426,26436,26436,9,11,1274552,169,24,10311,16072944,43522,8798,520088,16781
1789777427,26436,26436,9,11,1274552,169,24,10311,16072944,43522,8798,520088,16781
1789777428,26436,26436,9,11,1274552,170,24,10311,16072944,43522,8798,520088,16781
1789777429,26436,26436,9,10,1274552,170,24,10311,16072944,43522,8798,520088,16781
1789777431,26436,26436,9,10,1274552,170,24,10311,16072944,43522,8798,520088,16781
1789777432,26436,26436,9,11,1274552,170,24,10311,16072944,43522,8798,520088,16781
1789777433,26436,26436,9,11,1274552,170,24,10311,16072944,43522,8798,520088,16781
1789777434,26436,26436,9,11,1274552,170,24,10311,16072944,43522,8798,520088,16781
1789777435,26436,26436,9,10,1274552,170,24,10311,16072944,43522,8798,520088,16781
1789777436,26436,26436,9,10,1274552,176,24,10326,16073048,43527,8813,520192,16787
1789777437,26436,26436,9,11,1274552,176,24,10326,16073048,43527,8813,520192,16787
1789777438,26436,26436,9,11,1274552,176,24,10326,16073048,43527,8813,520192,16787
1789777439,26436,26436,9,11,1274552,176,24,10326,16073048,43527,8813,520192,16787
1789777440,26436,26436,9,10,1274552,176,24,10326,16073048,43527,8813,520192,16787
1789777441,26436,26436,9,10,1274552,176,24,10326,16073048,43527,8813,520192,16787
1789777442,26436,26436,9,10,1274552,176,24,10326,16073048,43527,8813,520192,16787
1789777443,26436,26436,9,10,1274552,176,24,10326,16073048,43527,8813,520192,16787
1789777444,26436,26436,9,10,1274552,176,24,10326,16073048,43527,8813,520192,16787
1789777445,26436,26436,9,10,1274552,176,24,10326,16073048,43527,8813,520192,16787
1789777446,26436,26436,9,10,1274552,176,24,10326,16073048,43527,8813,520192,16787
1789777447,26440,26440,9,10,1274552,182,25,10343,16073152,43534,8830,520296,16794
1789777448,26440,26440,9,10,1274552,182,25,10343,16073152,43534,8830,520296,16794
1789777449,26440,26440,9,10,1274552,182,25,10343,16073152,43534,8830,520296,16794
1789777450,26440,26440,9,10,1274552,182,25,10343,16073152,43534,8830,520296,16794
1789777451,26440,26440,9,10,1274552,182,25,10343,16073152,43534,8830,520296,16794
1789777452,26472,26472,9,10,1274552,184,25,10343,16073152,43534,8830,520296,16794
1789777453,26472,26472,9,10,1274552,184,25,10343,16073152,43534,8830,520296,16794
1789777454,26472,26472,9,10,1274552,184,25,10343,16073152,43534,8830,520296,16794
1789777455,26472,26472,9,10,1274552,184,25,10343,16073152,43534,8830,520296,16794
1789777456,26476,26476,9,11,1274552,184,25,10343,16073152,43534,8830,520296,16794
1789777457,26476,26476,9,11,1274552,184,25,10343,16073152,43534,8830,520296,16794
1789777458,26512,26512,9,13,1274552,190,25,10353,16073208,43537,8840,520352,16797
1789777459,26512,26512,9,10,1274552,191,25,10360,16073264,43540,8847,520408,16800
1789777460,26512,26512,9,10,1274552,191,25,10360,16073264,43540,8847,520408,16800
1789777461,26512,26512,9,11,1274552,191,25,10360,16073264,43540,8847,520408,16800
1789777462,26512,26512,9,11,1274552,191,25,10360,16073264,43540,8847,520408,16800
1789777463,26512,26512,9,11,1274552,191,25,10360,16073264,43540,8847,520408,16800
1789777464,26512,26512,9,10,1274552,191,25,10360,16073264,43540,8847,520408,16800
1789777465,26512,26512,9,10,1274552,191,25,10360,16073264,43540,8847,520408,16800
1789777466,26536,26536,9,11,1274552,191,25,10360,16073264,43540,8847,520408,16800
1789777467,26536,26536,9,11,1274552,191,25,10360,16073264,43540,8847,520408,16800
1789777468,26536,26536,9,11,1274552,191,25,10360,16073264,43540,8847,520408,16800
1789777469,26552,26552,9,10,1274808,192,25,10360,16073264,43540,8847,520408,16800
1789777470,26864,26864,9,10,1274808,198,26,10378,16073368,43547,8865,520512,16807
